2024-05-21 00:13:02,866 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,866 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,867 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,941 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1073e-01, 2.6162e-05, 6.7832e-01, 3.6261e-01])
2024-05-21 00:13:02,942 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,943 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,945 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,948 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5128, 0.0571, 0.5619, 0.2286])
2024-05-21 00:13:02,949 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,950 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,950 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,026 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1082e-01, 9.2824e-06, 6.7826e-01, 3.6273e-01])
2024-05-21 00:13:03,027 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,027 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,028 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,031 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5119, 0.0576, 0.5616, 0.2296])
2024-05-21 00:13:03,031 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,032 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,032 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,104 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1069e-01, 3.5508e-05, 6.7863e-01, 3.6276e-01])
2024-05-21 00:13:03,104 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,106 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,106 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,109 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5127, 0.0584, 0.5620, 0.2337])
2024-05-21 00:13:03,109 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,110 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,111 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,205 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1069e-01, 5.6839e-05, 6.7879e-01, 3.6261e-01])
2024-05-21 00:13:03,206 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,208 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,209 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,213 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5118, 0.0581, 0.5619, 0.2381])
2024-05-21 00:13:03,214 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,214 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,215 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,285 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1061e-01, 4.4473e-05, 6.7852e-01, 3.6271e-01])
2024-05-21 00:13:03,287 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,290 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,292 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,296 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5096, 0.0584, 0.5619, 0.2387])
2024-05-21 00:13:03,296 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,297 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,297 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,368 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1062e-01, 6.4786e-05, 6.7842e-01, 3.6281e-01])
2024-05-21 00:13:03,368 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,368 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,369 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,371 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5088, 0.0579, 0.5620, 0.2418])
2024-05-21 00:13:03,372 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,372 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,373 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,440 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1065e-01, 6.3451e-05, 6.7811e-01, 3.6279e-01])
2024-05-21 00:13:03,441 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,442 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,442 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:03,444 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5100, 0.0589, 0.5613, 0.2358])
2024-05-21 00:13:03,445 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:03,445 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
