2024-05-21 00:08:39,810 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3484e+02, 2.7283e-02, 4.3443e+02, 1.7405e+02])
2024-05-21 00:08:39,811 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,813 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,814 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,819 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([327.5311,  27.9016, 359.5943, 114.2932])
2024-05-21 00:08:39,822 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,824 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,826 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,961 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3479e+02, 2.1347e-02, 4.3425e+02, 1.7410e+02])
2024-05-21 00:08:39,962 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,963 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,964 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:39,966 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([326.1335,  28.0300, 359.6415, 114.5631])
2024-05-21 00:08:39,966 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,967 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:39,967 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:40,066 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3480e+02, 3.1097e-02, 4.3419e+02, 1.7415e+02])
2024-05-21 00:08:40,067 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,068 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,069 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:40,070 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([325.6186,  27.7976, 359.6703, 116.0507])
2024-05-21 00:08:40,071 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,071 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,072 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:40,189 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3482e+02, 3.0457e-02, 4.3399e+02, 1.7414e+02])
2024-05-21 00:08:40,190 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,191 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:40,192 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
